;EAN;Désignation;Stock;PVC;;
False;8411104004504;# BYLY  DEO ROLL-ON ORGANIC 50;15;1.90;;
False;8437014661859;EAU COLOGNE R.AMBREE 200 ;5;9.95;;
False;8413700046261;$? CARMEN PIMIENTA BLANC MOL.50;41;2.95;;
False;8413700037269;$#? CARMEN CAYENA MOLIDA 43;46;2.55;;
False;3014260209148;$?# GILLETE BLUE II FIJA  15+5;218;7.45;;
False;8413700025266;$? CARMEN SAZONADOR POLLO 75 G;21;2.25;;
False;2320401000000;CEREZA ROJA/VERDE 22/44 CUBO-4;4;4.19;;
False;9870002004167;LIONESA REDONDA 43MM-200;1700;8.19;;
False;2320433000000;AZUCAR INSOLUBLE SACO-15;49;1.39;;
False;2320441000000;CROISSANT PEQ. MARGARIN-11,5K.;127;2.00;;
False;9870002004839;ENSAIMADA GRANDE-90U.;3430;0.28;;
False;2320493000000;PALMERITA P.D.-5K.;27;1.96;;
False;9870002005010;CANA CHOCOLATE-75U.;245;0.28;;
False;9870002005027;CARACOLA DE CHOCOLATE 90U.;80;0.29;;
False;9870002005133;HOJALDRE QUESO-BACON 38U.  ;134;0.33;;
False;2320787000000;TORRIJA;140;1.99;;
False;2320803000000;BAVAROIS FRESA 4X1.250;3;6.16;;
False;9870002008103;TARTA NATA-TRUFA 700 GR.;1;8.99;;
False;9870002008844;$ BRAZO CREMA 1500GR.;2;17.99;;
False;9870002009421;$ EMPANADA DE CARNE 1100 GR.;50;8.99;;
False;2320104000000;TIRAS DE CARTON 62CM 10K.;69;1.73;;
False;9870002011066;ROLLO PAPEL 31CM.;4;16.97;;
False;9870002011073;MANGA DESECHABLE;5;21.75;;
False;9870002011080;PAPEL DE HORNO SILICONADO;5;54.90;;
False;9870002011103;BLONDA 26X32;700;0.07;;
False;9870002011158;BOBINA LINALTA Z38 450X1500 PON;4;47.75;;
False;9870002011189;BLONDA P.B. 22X28;146;0.07;;
False;9870002011202;ROLLO DE PAPEL (PLANCHAS);1;76.10;;
False;9870002011219;BANDEJA 31X39 N12;150;0.26;;
False;9870002011394;BANDEJA 18X25 6LL;3598;0.09;;
False;9870002011806;TORTEL CABELLO 60U.;80;0.46;;
False;9870002011813;ENV.ALUM.A900 (600);200;0.38;;
False;9870002011837;TAPA BRAZO GIT. R3210TR03;320;0.55;;
False;9870002011851;BASE BRAZO GIT.R3210TR30;460;0.63;;
False;2321103000000;$ # ? LOMO ADOBADO ATM CAYSAN;13;10.59;;
False;2321135000000;$ ? COCHINILLO MOSTRADOR;41;15.89;;
False;2321139000000;$ ? CERDO COSTILLA;126;5.49;;
False;2321141000000;$ # ? CERDO PANCETA BACON;16;6.29;;
False;2321146000000;$ ? CERDO CODILLO JAMON;55;4.99;;
